CEC	velocidad	tiempo	carga	Mezclas
117.61	3579.3	0.122	0	Diesel
135.37	3622.33	0.106	1	Diesel
144.93	3599.66	0.087	2	Diesel
152.65	3623.44	0.094	3	Diesel
154.29	3624.66	0.093	4	Diesel
112.76	3528.5	0.126	0	Biodiesel
124.66	3520.17	0.116	1	Biodiesel
132.66	3493.16	0.109	2	Biodiesel
150.63	3489	0.096	3	Biodiesel
162.47	3472.67	0.089	4	Biodiesel
112.48	3555.65	0.139	0	Biodiesel
139.6	3522.17	0.112	1	Biodiesel
175.67	3540	0.089	2	Biodiesel
177.67	3532.17	0.088	3	Biodiesel
195.44	3524.67	0.08	4	Biodiesel
121.39	3597.83	0.122	0	Biodiesel
131.06	3562.33	0.113	1	Biodiesel
162.74	3556.33	0.091	2	Biodiesel
170.22	3551.5	0.087	3	Biodiesel
174.23	3563.66	0.085	4	Biodiesel
102.72	3562.85	0.14	0	Unarias
117.88	3543	0.122	1	Unarias
138.99	3528.65	0.102	2	Unarias
140.28	3528.5	0.104	3	Unarias
163.42	3562.5	0.088	4	Unarias
96.85	3559.5	0.148	0	Unarias
112.86	3555	0.127	1	Unarias
130.3	3552.5	0.11	2	Unarias
140.52	3543.5	0.102	3	Unarias
150.88	3559	0.095	4	Unarias
113.49	3596.83	0.127	0	Unarias
124.25	3599.5	0.116	1	Unarias
151.71	3581.5	0.095	2	Unarias
160.14	3574.83	0.09	3	Unarias
165.66	3582.5	0.087	4	Unarias
102.38	3564	0.14	0	Binarias
115.59	3534.5	0.124	1	Binarias
137.82	3528.17	0.104	2	Binarias
141.33	3529.67	0.101	3	Binarias
143.91	3537.66	0.1	4	Binarias
99.43	3527.66	0.144	0	Binarias
108.47	3570.66	0.132	1	Binarias
135.36	3499.83	0.106	2	Binarias
136.07	3492.99	0.105	3	Binarias
149.14	3523.99	0.096	4	Binarias
102.83	3568	0.14	0	Binarias
115.17	3548.5	0.125	1	Binarias
142.54	3542.5	0.101	2	Binarias
146.9	3548	0.098	3	Binarias
154.8	3560	0.093	4	Binarias
105.51	3571.83	0.136	0	Ternarias
111.23	3544.66	0.129	1	Ternarias
139.66	3523.67	0.105	2	Ternarias
143.49	3517.66	0.1	3	Ternarias
155.97	3520.16	0.092	4	Ternarias
102.22	3549.33	0.141	0	Ternarias
121.11	3549.66	0.119	1	Ternarias
139.93	3520.66	0.103	2	Ternarias
144.13	3519.33	0.1	3	Ternarias
160.14	3527.16	0.09	4	Ternarias
103.23	3555.65	0.139	0	Ternarias
128.12	3522.17	0.112	1	Ternarias
161.23	3540	0.089	2	Ternarias
163.06	3532.17	0.088	3	Ternarias
179.36	3524.67	0.08	4	Ternarias
101.61	3582.16	0.142	0	Ternarias
127.69	3538.33	0.113	1	Ternarias
141.46	3519.2	0.102	2	Ternarias
142.86	3515.99	0.101	3	Ternarias
162.12	3524.66	0.089	4	Ternarias
